question,document,type,order,text,pmid
1061,13,2_abstract_sentence,0,The glial-cell-line-derived neurotrophic factor (GDNF) family receptors alpha (GFRalpha) are cell surface bound glycoproteins that mediate interactions of the  GDNF ligand family with the RET receptor. ,11409869
1061,13,2_abstract_sentence,1,These interactions are crucial to the development of the kidney and some peripheral nerve lineages. ,11409869
1061,13,2_abstract_sentence,2,"In humans, mutations of RET or RET ligands are associated with the congenital abnormality Hirschsprung disease (HSCR) in which nerves and ganglia of the hind gut are absent. ",11409869
1061,13,2_abstract_sentence,3,"As the GFRalpha family are required for normal activation of the RET receptor, they are also candidates for a role in HSCR. ",11409869
1061,13,2_abstract_sentence,4,"The GFRA2 gene, which is required for the development of the myenteric nerve plexus, is an excellent candidate gene for HSCR. ",11409869
1061,13,2_abstract_sentence,5,"In this study, we cloned the human GFRA2 locus, characterized the gene structure, and compared it with other GFRA family members. ",11409869
1061,13,2_abstract_sentence,6,We further investigated the GFRA2 gene for mutations in a panel of HSCR patients. ,11409869
1061,13,2_abstract_sentence,7,GFRA2 has nine coding exons that are similar in size and organization to those of other GFRA family genes. ,11409869
1061,13,2_abstract_sentence,8,"We identified six sequence variants of GFRA2, four of which did not affect the amino acid sequence of the GFRalpha-2 protein. ",11409869
1061,13,2_abstract_sentence,9,Two further changes that resulted in amino acid substitutions were found in exon 9 and were predicted to lie in the amino acid sequence encoding the glycosylphosphatidylinositol-linkage signal of GFRalpha-2. ,11409869
1061,13,2_abstract_sentence,10,There was no difference in frequency of any of the sequence variants between control and HSCR  populations. ,11409869
1061,13,2_abstract_sentence,11,Our data indicate that members of the GFRA gene family are closely related in intron/exon structure and in sequence. ,11409869
1061,13,2_abstract_sentence,12,We have not detected any correlation between sequence variants of GFRA2 and the HSCR phenotype. ,11409869
1061,14,1_title,0,Functional mapping of receptor specificity domains of glial cell line-derived neurotrophic factor (GDNF) family ligands and production of GFRalpha1 RET-specific agonists.  ,10652334
1061,14,2_abstract_sentence,0,"The glial cell line-derived neurotrophic factor (GDNF) family ligands (GFLs) (GDNF, neurturin, artemin, and persephin) are critical regulators of neurodevelopment and support the survival of midbrain dopaminergic and spinal motor neurons in vitro and in animal disease models making them attractive therapeutic candidates for treatment of neurodegenerative diseases. ",10652334
1061,14,2_abstract_sentence,1,The GFLs signal through a multicomponent receptor complex comprised of a high affinity binding component (GDNF-family receptor alpha-component (GFRalpha1-GFRalpha4)) and the receptor tyrosine kinase RET. ,10652334
1061,14,2_abstract_sentence,2,"To begin characterization of GFL receptor specificity at the molecular level, we performed comprehensive homologue-scanning mutagenesis of GDNF, the prototypical member of the GFLs. ",10652334
1061,14,2_abstract_sentence,3,Replacing short segments of GDNF with the homologous segments from persephin (PSPN) (which cannot bind or activate GFRalpha1.RET or GFRalpha2.RET) identified sites along the second finger of GDNF critical for activating the GFRalpha1.RET and GFRalpha2.RET receptor complexes. ,10652334
1061,14,2_abstract_sentence,4,"Furthermore, introduction of these regions from GDNF, neurturin, or artemin into PSPN demonstrated that they are sufficient for activating GFRalpha1. ",10652334
1061,14,2_abstract_sentence,5,"RET, but additional determinants are required for interaction with the other GFRalphas. ",10652334
1061,14,2_abstract_sentence,6,This difference in the molecular basis of GFL-GFRalpha specificity allowed the production of GFRalpha1. ,10652334
1061,14,2_abstract_sentence,7,RET-specific agonists and provides a foundation for understanding of GFL-GFRalpha.RET signaling at the molecular level. ,10652334
1061,15,1_title,0,"Expression of RET and its ligand complexes, GDNF/GFRalpha-1 and NTN/GFRalpha-2, in medullary thyroid carcinomas.  ",10822229
1061,15,2_abstract_sentence,0,"OBJECTIVE: Mutations in the RET proto-oncogene are found in about one third of sporadic medullary thyroid carcinomas (MTCs), mostly affecting codon 918. ",10822229
1061,15,2_abstract_sentence,1,"Glial cell line derived neurotropic factor (GDNF) and its membrane-bound GDNF family receptor alpha (GFRalpha-1), as well as neurturin (NTN) and its membrane-bound receptor GFRalpha-2 form a complex with the RET product, a receptor tyrosine kinase, resulting in downstream signaling to the nucleus. ",10822229
1061,15,2_abstract_sentence,2,"DESIGN: To elucidate the role of these RET ligands in MTC tumorigenesis, their expression was determined in 15 MTC samples, one papillary thyroid carcinoma (PTC) and three normal thyroid tissue specimens. ",10822229
1061,15,2_abstract_sentence,3,"METHODS: The mRNA expression of RET, GDNF, GFRalpha-1, NTN and GFRalpha-2 was investigated by mRNA in situ hybridization, and confirmed by reverse transcription-PCR analysis. ",10822229
1061,15,2_abstract_sentence,4,RESULTS: None of the five genes was expressed in the normal thyroids or in the PTC. ,10822229
1061,15,2_abstract_sentence,5,"All MTCs showed expression of RET, 13 expressed GDNF, 12 expressed GFRalpha-1 and 9 expressed NTN and GFRalpha-2. ",10822229
1061,15,2_abstract_sentence,6,"In 7 of the tumors RET, GDNF and GFRalpha-1 were expressed at high levels, and in five of these seven tumors NTN and GFRalpha-2 genes were also expressed at high levels. ",10822229
1061,15,2_abstract_sentence,7,The high level of expression was preferentially seen in tumor cells adjacent to stroma and connective tissue. ,10822229
1061,15,2_abstract_sentence,8,All MTCs without expression of the RET ligands harbored the RET codon 918 mutation. ,10822229
1061,15,2_abstract_sentence,9,"CONCLUSIONS: The results suggest that this signaling pathway is important for MTC development, and that it may be activated by expression of the RET ligand complexes by the tumor cells themselves. ",10822229
1061,16,1_title,0,RET and GDNF gene scanning in Hirschsprung patients using two dual denaturing gel systems.  ,10790203
1061,16,2_abstract_sentence,0,Hirschsprung disease (HSCR) is a congenital disorder characterised by intestinal  obstruction due to an absence of intramural ganglia along variable lengths of the intestine. ,10790203
1061,16,2_abstract_sentence,1,RET is the major gene involved in HSCR. ,10790203
1061,16,2_abstract_sentence,2,"Mutations in the GDNF gene, and encoding one of the RET ligands, either alone or in combination with RET mutations, can also cause HSCR, as can mutations in four other genes (EDN3, EDNRB, ECE1, and SOX10). ",10790203
1061,16,2_abstract_sentence,3,"The rare mutations in the latter four genes, however, are more or less restricted to HSCR associated with specific phenotypes. ",10790203
1061,16,2_abstract_sentence,4,"We have  developed a novel comprehensive mutation detection system to analyse all but three amplicons of the RET and GDNF genes, based on denaturing gradient gel electrophoresis. ",10790203
1061,16,2_abstract_sentence,5,"We make use of two urea-formamide gradients on top of each other, allowing mutation detection over a broad range of melting temperatures. ",10790203
1061,16,2_abstract_sentence,6,For the three remaining (GC-rich) PCR fragments we use a combination of DGGE and  constant denaturing gel electrophoresis (CDGE). ,10790203
1061,16,2_abstract_sentence,7,"These two dual gel systems substantially facilitate mutation scanning of RET and GDNF, and may also serve as a model to develop mutation detection systems for other disease genes. ",10790203
1061,16,2_abstract_sentence,8,"In a screening of 95 HSCR patients, RET mutations were found in nine out of 17 familial cases (53%), all containing long segment HSCR. ",10790203
1061,16,2_abstract_sentence,9,"In 11 of 78 sporadic cases (14%), none had long segment HSCR. ",10790203
1061,16,2_abstract_sentence,10,"Only one GDNF mutation was found, in a sporadic case. ",10790203
1061,17,1_title,0,RET and neuroendocrine tumors.  ,15013219
1061,17,2_abstract_sentence,0,"Glial cell line-derived neurotrophic factor (GDNF), a ligand of RET tyrosine kinase, and its family ligands promote the survival and differentiation of a variety of neurons. ",15013219
1061,17,2_abstract_sentence,1,"Gene ablation studies have revealed that the GDNF-RET receptor system is essential for the development of kidney and peripheral neurons, including sympathetic, parasympathetic and enteric neurons. ",15013219
1061,17,2_abstract_sentence,2,"RET can activate various signaling pathways such as RAS/extracellular signal-regulated kinase (ERK), phosphatidylinositol 3-kinase (PI3K)/AKT, p38 mitogen-activated protein kinase (MAPK) and c-Jun N-terminal kinase (JNK) pathways. ",15013219
1061,17,2_abstract_sentence,3,These signaling pathways are activated via binding of adaptor proteins to intracellular tyrosine  residues of RET phosphorylated by its own kinase activity. ,15013219
1061,17,2_abstract_sentence,4,The RET is profoundly  involved in the development of several human neuroendocrine diseases. ,15013219
